ticker,exists,rows,elapsed_s,note
1565.T,no,0,1.11,empty-history
1567.T,no,0,0.11,empty-history
1574.T,no,0,0.12,empty-history
1575.T,no,0,0.11,empty-history
1576.T,no,0,0.11,empty-history
1581.T,no,0,1.00,empty-history
1582.T,no,0,1.13,empty-history
1583.T,no,0,1.16,empty-history
1584.T,no,0,0.12,empty-history
1587.T,no,0,1.20,empty-history
1588.T,no,0,1.02,empty-history
1589.T,no,0,0.99,empty-history
1590.T,no,0,1.01,empty-history
1594.T,no,0,1.19,empty-history
1598.T,no,0,0.11,empty-history
1600.T,no,0,0.98,empty-history
1601.T,no,0,0.11,empty-history
1602.T,no,0,1.44,empty-history
1603.T,no,0,0.11,empty-history
1604.T,no,0,0.11,empty-history
1606.T,no,0,0.11,empty-history
1607.T,no,0,1.18,empty-history
1608.T,no,0,1.35,empty-history
1609.T,no,0,0.98,empty-history
1610.T,no,0,0.11,empty-history
1611.T,no,0,0.11,empty-history
1612.T,no,0,0.11,empty-history
1613.T,no,0,0.11,empty-history
1614.T,no,0,0.11,empty-history
1616.T,no,0,0.98,empty-history
1634.T,no,0,0.11,empty-history
1635.T,no,0,0.11,empty-history
1636.T,no,0,0.11,empty-history
1637.T,no,0,0.11,empty-history
1638.T,no,0,0.11,empty-history
1639.T,no,0,0.11,empty-history
1640.T,no,0,0.24,empty-history
1641.T,no,0,0.12,empty-history
1642.T,no,0,0.10,empty-history
1643.T,no,0,0.11,empty-history
1644.T,no,0,0.10,empty-history
1645.T,no,0,0.11,empty-history
1646.T,no,0,0.13,empty-history
1647.T,no,0,0.11,empty-history
1648.T,no,0,0.11,empty-history
1649.T,no,0,0.11,empty-history
1650.T,no,0,0.10,empty-history
1661.T,no,0,0.11,empty-history
1664.T,no,0,1.00,empty-history
1665.T,no,0,0.98,empty-history
1666.T,no,0,0.98,empty-history
1667.T,no,0,1.10,empty-history
1668.T,no,0,1.00,empty-history
1669.T,no,0,1.13,empty-history
1670.T,no,0,0.11,empty-history
1682.T,no,0,0.12,empty-history
1683.T,no,0,0.11,empty-history
1700.T,no,0,1.01,empty-history
1701.T,no,0,0.10,empty-history
1702.T,no,0,1.00,empty-history
1703.T,no,0,1.17,empty-history
1704.T,no,0,1.13,empty-history
1705.T,no,0,1.14,empty-history
1706.T,no,0,0.98,empty-history
