ticker,cross_month,ma9,ma24,latest_close
6363.T,2026-05,2403.52,2346.79,3130.0
1695.T,2026-06,3018.0,2995.46,3136.0
6798.T,2026-01,2322.8,2302.51,3145.0
4534.T,2026-01,3159.83,3148.71,3150.0
3221.T,2026-03,2922.65,2920.89,3195.0
6652.T,2026-01,2422.58,2417.41,3200.0
4208.T,2026-02,2380.39,2346.89,3205.0
1928.T,2026-03,3379.81,3356.69,3271.0
2004.T,2025-12,2915.13,2898.22,3285.0
7952.T,2026-05,2702.33,2682.55,3295.0
6315.T,2026-03,2277.94,2225.74,3325.0
3107.T,2025-12,2735.56,2675.18,3333.0
3132.T,2025-12,2039.85,1995.97,3350.0
6918.T,2026-05,2756.99,2700.13,3365.0
4901.T,2026-01,3293.22,3283.9,3383.0
2648.T,2025-12,3428.48,3426.35,3384.0
9041.T,2026-05,3161.61,3151.52,3406.0
7384.T,2026-01,1780.5,1747.5,3445.0
6677.T,2025-12,2744.6,2635.16,3465.0
7747.T,2026-01,2517.98,2484.5,3492.0
8218.T,2026-02,3272.39,3263.23,3515.0
8584.T,2026-02,4067.44,3995.32,3520.0
3374.T,2026-04,2225.33,2205.59,3555.0
6237.T,2026-02,2551.42,2535.15,3560.0
2810.T,2026-02,2846.74,2817.07,3576.0
2269.T,2026-02,3248.81,3240.82,3581.0
4040.T,2026-01,2998.99,2981.69,3610.0
7734.T,2026-06,3360.1,3337.98,3625.0
7637.T,2026-04,2313.76,2307.23,3670.0
6141.T,2026-06,2876.6,2874.55,3714.0
4462.T,2026-02,2154.81,2145.13,3730.0
7769.T,2026-05,3561.79,3512.7,3735.0
6668.T,2026-03,1450.56,1439.66,3765.0
5021.T,2025-12,3368.49,3349.51,3775.0
6448.T,2026-01,2654.7,2625.82,3777.0
4369.T,2026-06,3208.48,3154.83,3810.0
7701.T,2026-05,3976.81,3975.47,3828.0
9962.T,2026-03,2429.84,2397.56,3850.0
3099.T,2026-02,2428.9,2381.79,3871.0
9793.T,2026-04,3594.58,3566.95,3880.0
1663.T,2026-01,3348.09,3269.33,3890.0
6823.T,2026-01,2534.14,2511.79,3895.0
4523.T,2026-05,4619.85,4598.01,3902.0
6235.T,2026-02,1924.11,1811.32,3945.0
4516.T,2026-01,3712.52,3688.94,3972.0
4047.T,2026-01,969.57,943.52,4015.0
5192.T,2026-03,3752.07,3736.65,4020.0
2760.T,2026-05,3296.63,3161.13,4130.0
6391.T,2026-04,3820.43,3716.86,4205.0
